mailingAddr1,totalActualVal
2888 LOMA PL,402500
5537 PIONEER RD,372800
4468 CLAY ST,365000
6400 WESTOWN PKWY,627500
PO BOX 18983,1651800
PO BOX 11261,298200
4800 PEARL ST,474600
2935 MADERA CT,333600
4475 51ST ST,
4949 N BROADWAY 105,5701300
2775 IRIS AV,280000
5566 PIONEER RD,582600
2872 LOMA PL,375700
3722 MONTEREY PL,426200
4415 47TH ST,1160200
PO BOX 3723,1026100
3801 MONTEREY PL,391500
4549 PLEASANT RIDGE RD,613400
1220 FAIRFIELD DR,306000
11367 ERIE PKWY,410000
11367 ERIE PKWY,410000
5760 N 51ST ST,431800
11205 ERIE PKWY,14000
6700 S COOK,428800
4518 47TH ST,457500
5510 PIONEER RD,450000
4830 PEARL ST.,592900
PO BOX 18628,1048960
2515 N 49TH ST STE A,556645
12021 PENNSYLVANIA ST STE 206,74600
2100 ORCHARD AVE,397400
5613 PIONEER RD,309400
5105 INDEPENDENCE RD,1104300
2958 LOMA PL,350600
5690 JUHLS DR,403700
2882 LOMA PL,371600
2976 MADERA CT,397700
2998 LOMA PL,385000
PO BOX 791,500000
PO BOX 19198,584300
5137 INDEPENDENCE ROAD,624000
511 W QUINTO ST APT A,388800
PO BOX 791,773200
2050 GRAPE AVE,605000
19221 N. STATE HIGHWAY 135,321224
PO BOX 19082,321700
2878 LOMA PL,373600
11192 COUNTY RD 23,138400
2823 JAY RD,359400
1068 RIDGLEA WAY,495640
2964 PALO PKWY,460400
2210 MEADOW AVE,438700
5 SCOTT DR NORTH,377600
2865 MADERA CT,434500
PO BOX 173779,1100
3791 MONTEREY PL,366400
5045 VALHALLA DR,546700
2864 NEBRINA PL,321100
5012 VALHALLA DR,388800
697 N BEAVER RD,1062800
2885 MAYA PL,389800
5617 JAY RD,405300
PO BOX 2726,1100
PO BOX 2726,1100
PO BOX 791,606500
2305 CANYON BLVD SUITE 200,1393500
7393 CORTEZ LN,352400
2956 MADERA CT,354500
3030 N LAKERIDGE TRL,1182200
3955 28TH ST #207,300300
N5552 PALLADIO ST,397600
5075 N 51ST ST,436300
5054 N 51ST ST,828700
2877 LOMA PL,376200
4800 BROADWAY,473100
20 HASSAN ASSEM ZAMALEK,418500
3811 MONTEREY PL,382300
4622 N 47TH ST,1407200
2861 LOMA PL,386200
2855 VALMONT RD,694500
3704 N 26TH ST,625500
2898 LOMA PL,438800
2850 LINKS DR,1013600
4767 VALHALLA DR,530400
4549 PLEASANT RIDGE RD,702600
4410 51ST ST,609600
2856 MAYA PL,391800
PO BOX 791,150000
300 E MAPLE RD STE 200,1101800
PO BOX 791,2882700
5501 JAY RD,373600
2400 28TH ST,435300
2400 28TH ST,435300
2400 28TH ST,435300
2400 28TH ST,435300
2994 NOGALES CT,402900
5522 PIONEER RD,585000
2975 MADERA CT,365000
2858 LOMA PL,369100
2858 LOMA PL,369100
WINDY L,1074100
4675 N 51ST ST,623500
3214 JAY RD,946500
3214 JAY RD,946500
5669 JUHLS DR,400000
4494 CLAY ST,417400
4327 51ST ST,811900
3812 MONTEREY PL,379600
3855 PLEASANT RIDGE RD,1163000
4780 FRANKLIN DR,340200
5275 51ST ST,643000
200 FAIR PL,1704
200 FAIR PL,314
3375 HICKOK PL,216400
2973 NOGALES CT,407700
2866 MAYA PL,346800
REVOCABLE TRUST,323000
51 PINE VIEW LN,1635700
4775 VALHALLA DR,724500
2894 NEBRINA PL,323100
5545 JUHLS DR,421300
5545 JUHLS DR,421300
5545 JUHLS DR,421300
5545 JUHLS DR,421300
5457 JAY RD,439900
1300 CANYON BLVD,325400
3801 ABEYTA CT,390100
10751 N MERIDIAN RD,341700
2938 KALMIA AVE UNIT 1,299600
2855 MAYA PL,366500
3109 BELL DR,258300
PO BOX 791,4279800
4359 N 55TH ST,381500
5273 INDEPENDANCE RD,148400
2875 MADERA CT,384800
5309 INDEPENDENCE RD,346600
4941 KELSO RD,575300
1777 BROADWAY,323400
5295 51ST ST,364500
4201 E ARKANSAS AVE,1211800
5349 51ST ST,130800
5635 JUHLS DR,575300
5672 JUHLS DR,470700
4791 JAY RD,437300
3761 MONTEREY PL,400200
2957 LOMA PL,433900
5535 JAY RD,365700
5535 JAY RD,365700
4700 47TH ST,873600
3822 MONTEREY PL,456000
4348 PLEASANT RIDGE RD,622500
PO BOX 791,1600000
443 CAMINO BOSQUE,379100
5624 PIONEER RD,545000
4481 CLAY ST,535000
3732 MONTEREY PLACE,370400
5612 PIONEER RD,560900
4802 EDISON AVE,230600
2889 VALMONT RD,405700
5201 INDEPENDENCE RD,464600
5307 INDEPENDENCE RD,300100
5534 PIONEER RD,613900
5721 JAY RD,500
NANETTE M FURMAN,203140
PO BOX 791,250000
4445 51ST ST,507300
3771 MONTEREY PL,362600
RESEARCH,7203400
1525 HAWTHORN AVE,844345
1550 MOSS ROCK PL,310500
2996 MADERA CT,382300
5796 51ST ST,656600
5639 JAY RD,361400
4743 JAY RD,386400
4903 NOBLE PARK PL,319900
2595 CANYON BLVD STE 230,2204600
5125  51ST ST  #3,536100
5547 PIONEER RD,372800
4975 KELSO RD,990000
4990 VALKYRIE DR,879300
3055 47TH ST,841700
4732 KELSO RD,1088800
2888 BLUFF ST #422,0
PO BOX 791,1865500
5388 WATERSTONE DR,1549400
4151 PLEASANT RIDGE RD,780000
4655 PLEASANT RIDGE RD,1037000
1200 VINE ST APT 1E,256100
4582 47TH ST,400400
300 WHISPER CREEK TR,380000
2897 VALMONT RD,1002700
P O BOX 791,744200
PO BOX 94,300
P O BOX 4056,703700
4901 JAY RD,589100
370 MOUNTAIN MEADOWS,747200
4027 PLEASANT RIDGE ROAD,730000
3434 47TH ST  SUITE 220,3300000
3080 VALMONT RD STE 120,983043
5647 JUHLS DR,442300
5647 JUHLS DR,442300
1002 WALNUT STE 203A,479800
1002 WALNUT STE 203A,479800
2865 JAY RD,828700
4482 CLAY ST,495700
4500 47TH ST,575700
1539 MILWAUKEE ST UNIT 3,303300
2005 10TH ST STE D,1211200
240 30TH ST,397900
5125 51ST ST,771900
4011 OLD WESTBURY CT,634600
4062 PLEASANT RIDGE RD,481800
4062 PLEASANT RIDGE RD,30200
2868 LOMA PL,384700
2005 10TH ST STE D,1677100
PO BOX 791,17400
4123 NEVIS ST,755200
5591 PIONEER RD,349900
5591 PIONEER RD,349900
MUNICIPAL BUILDING,20000
PO BOX 130548,2020400
1325 OLD TALE RD,505000
37 S MEADOWVIEW CT,515600
2891 LOMA PL,397200
2954 NOGALES CT,368600
PO BOX 1547,1123800
5681 JUHLS DR,390000
PO BOX 791,194100
4770 PEARL ST,1035810
5235 INDEPENDENCE RD,506900
4154 PLEASANT RIDGE RD,767800
2470 49TH ST,3350000
5639 PIONEER RD,336100
3815 MONTEREY PL,357200
2857 LOMA PL,371900
4867 JAY RD,321000
2864 NEBRINA PL,350600
5511 PIONEER RD,340600
PO BOX 20398,500000
4880 KELSO RD,1365600
4880 KELSO RD,1365600
2883 NEBRINA PL,348200
2853 NEBRINA PL,300300
2863 NEBRINA PL,290200
2933 NOGALES CT,487000
4490 CLAY ST,545600
5661 JUHLS DR,387800
1375 WALNUT ST. SUITE 10,1131800
HIGHWAY OFFICE BUILDING,1419200
PO BOX 791,485000
2374 OBERHELMAN RD,384200
1295 ITHACA DR,201100
2595 CANYON BLVD STE 230,2002100
3802 N 30TH ST,0
3802 MONTEREY PL,381800
PO BOX 19708,645290
PO BOX 791,4792500
5548 PIONEER RD,454300
7601 RUSHING WIND GROVE,1264300
1375 WALNUT ST SUITE 10,2636600
2825 JAY RD,1057500
2974 NOGALES CT,386400
4770 VALHALLA DR,657400
SHERRY BAIRD FIRCHAU,487100
4774 VALHALLA DR,489100
1375 WALNUT ST.SUITE 10,450800
PO BOX 791,1568200
76  SOUTH ST #3,380200
5690 JUHLS DR,510700
4743 LOKI AVE,936200
4795 VALHALLA DR,1000000
4797 VALHALLA DR,846600
5289 ODIN AVE,1044400
5322 ODIN AVE,1044800
4833 VALHALLA DR,1056400
4867 VALHALLA DR,941000
4889 VALHALLA DR,929000
4935 VALHALLA DR,1115800
4981 VALHALLA DR,843900
5086 SCHOLARSHIP RD,873900
4871 VALKYRIE DR,948400
4875 VALKYRIE DR,743800
4879 VALKYRIE DR,782100
4881 VALKYRIE DR,662400
7700 W 81ST ST,773600
4887 VALKYRIE DR,716000
4891 VALKYRIE DR,842600
4893 VALKYRIE DR,757700
4899 VALKYRIE DR,832500
4798 VALHALLA DR,975000
4796 VALHALLA DR,803800
4794 VALHALLA DR,749300
4792 VALHALLA DR,658900
4790 VALHALLA DR,650500
4786 VALHALLA DR,682700
4782 VALHALLA DR,765100
4780 VALHALLA DR,668800
4778 VALHALLA DR,737800
4876 VALKYRIE DR,981100
4888 VALKYRIE DR,893300
4932 VALKYRIE DR,875000
4964 VALKYRIE DR,1053100
4913 VALKYRIE DR,763700
4913 VALKYRIE DR,763700
330 CHESHIRE CT,585400
4937 VALKYRIE DR,817600
EDWARD TURNACLIFF REV TRST,725900
4979 VALKYRIE DR,696100
5231 THOR AV,737300
4990 VALHALLA DR,783600
4966 VALHALLA DR,497000
4948 VALHALLA DR,769600
4924 VALHALLA DR,676300
4892 VALHALLA DR,595800
4878 VALHALLA DR,840600
4856 VALHALLA DR,700600
4824 VALHALLA DR,753700
5225 N 51ST ST,839600
5341 ODIN DR,1229200
1777 BROADWAY,439100
PO BOX 791,597300
167 CRISMAN,737500
4779 VALHALLA DR,568800
4783 VALHALLA DR,714000
2977 LOMA PL,428300
1777 BROADWAY,327700
1777 BROADWAY,47500
JOHN GILMER HUETTEL,443900
BARBARA JEAN,466600
PO BOX 229,900
PO BOX 791,750500
STEPHANIE A,347100
4650 PLEASANT RIDGE RD,767500
2985 WASHINGTON ST,545000
4201 E ARKANSAS AVE,1030700
11251 ERIE PKWY,195800
2895 MAYA PL,332000
2560 49TH ST,1151363
3225 6TH ST,1176422
5035 N 51ST ST,650000
2866 MADERA CT,332100
4309 N 51ST ST,500600
2420 LOCKSLEY CT,349900
3781 MONTEREY PL,355000
11845 WEST OLYMPIC BLVD STE 530,17038900
2881 LOMA PL,384300
4795 JAY RD,710400
9101 HARLAN ST 300,1622869
2899 NEBRINA PL,331500
2187 HERMOSA,1289100
2862 LOMA PL,424200
1215 4TH AVE STE 600,5312000
5680 PIONEER RD,500600
5668 PIONEER RD,463600
2827 JAY RD,332800
4236 PLEASANT RIDGE RD,507200
2885 MADERA CT,360600
5054 VALHALLA DR,380800
12300 FINIGAN RD,500
12300 FINIGAN RD,500
12300 FINIGAN RD,500
12300 FINIGAN RD,500
5577 PIONEER RD,356700
3835 30TH ST,365800
2990 CENTER GREEN CT,1003400
4850 VALMONT RD,1495400
4330 N CLUB CT UNIT B,500
2934 NOGALES CT,434400
PO BOX 18887,1266100
5340 WATERSTONE DR,646900
365 MANHATTAN DR,207000
ROW SECTION,1093800
3725 BIRCHWOOD DR UNIT 17,129120
4963 KELSO RD,702400
3800 PLEASANT RIDGE RD,747000
5692 PIONEER RD,407800
2997 LOMA PL,505700
PO BOX 20980,4700000
11251 ERIE PKWY,510
1500 ORCHARD AV,541200
3888 PLEASANT RIDGE RD,613800
1520 WILDWOOD LN,27500
1520 WILDWOOD LN,27500
19251 COUNTY ROAD 13,44900
152 CROCKETT TRAIL,104400
PO BOX 471,127000
FOREST SERVICE,560000
47181 PEAK TO PEAK WHY,171400
32 PINE CONE CIR,74600
393 PINE CONE DR,150000
936 WESTON CIRCLE,52000
222 S ROLAND AVE,52000
222 S ROLAND AVE,52000
3616 W 63RD ST,293100
1242 DORIS CIR,33900
1525 WILDER UNIT 204,358300
2425 BALSAM DR,452200
1015 PINE CONE CIR,410000
1015 PINE CONE CIR,410000
5335 TENINO AVE,52000
821 15TH ST,55000
525 COLLEGE AVE,55000
14050 GOLD HILL RD,849000
14497 GOLD HILL RD,36
11183 W FREMONT PL,60000
11183 W FREMONT PL,60000
1209 ROCK LAKE RD,322600
6358 STAGECOACH AVE,260700
116 HICKOK TRL,222800
177 TILGHMAN RD,180900
418 RIDGE RD,260900
74 HICKOK TR,258300
81 TILGHMAN RD,208700
27 CODY TRL,167800
195 JED SMITH RD,254800
229 JED SMITH RD,215000
581 RANCH RD,205300
44 JED SMITH RD,222600
44 JED SMITH RD,44900
161 RIDGE RD,321700
105 CROCKETT TRL,242600
PO BOX 208,67200
22 CROCKETT TRAIL,273100
290 RIDGE RD,211400
215 MARTIN,167800
4011 FAIRWOOD BLVD NE,274800
157 OVERLAND DR,188700
3227 BRENTWOOD PL,160000
PO BOX 471,87100
1140 LINDEN AVE,292200
303 E 17TH AVE STE 600,117500
PO BOX 2363,164400
8297 OVERLAND RD,22
751 MAIN ST,45700
PO BOX 3291,195600
PO BOX 17250,200000
PO BOX 17250,44500
525 COLLEGE AVE,52000
710 MARINE ST,40000
139 PINE CONE DR,386100
GARY RICHARD FRIEDLANDER,265300
1756 HOLEMAN DR,213900
& ALEXANDRA SAGE TURA TRUST,128700
525 COLLEGE AVE,40400
8971 FOURMILE CANYON DR,189800
PO BOX 214,129000
1725 ITHACA DR,47000
845 LINCOLN PL,97500
414 ROCK LAKE RD,232200
PO BOX 20345,99200
332 WINTHROP DR,27500
14372 SUMMER GLEN GRV,244400
1780 S BELLAIRE ST STE 635,1900
PO BOX 345,15800
5327 E 112TH CT,8700
517 MARINE ST,31400
2505 ANNIE OAKLEY DR,353900
242 HIGH LAKE DR,478300
1730 MAPLETON AVE,112200
633 S BROADWAY STE N,15000
270 OVERLAND DR,281700
33810 SOUTHERN CROSS TRL,6700
1613 S LAMAR ST,213100
4208 POMMARD DR,54000
8883 E 29TH PL,500000
6687 OVERLAND RD,260900
611 N WEBER UNIT 104,280900
200 S FLAT ROCK ST,8000
106 HARBOR RD,51400
1300 OAK CT,59200
PO BOX 36,150500
2635 6TH ST,53100
6685 OVERLAND RD,173100
18335 FRESH LAKE WAY,44400
6585 OVERLAND RD,375600
174 WEST BYERS PL,153100
174 WEST BYERS PL,153100
134 N KENSINGTON AVE,281700
24 HIGH LAKE DR,254800
4491 S YATES ST,11500
47734 PEAK TO PEAK HWY,168700
14901 PLUMRIDGE RD,300000
831 CARTER ST,140900
1210 BEELER ST,23500
10 BRAMER RD,197500
227 RANCH RD,297500
330 GRANT STE 1900,1130300
790 ROCK LAKE RD,291000
325 RANCH RD,233900
6060 CRYSTAL POINT,111200
1736 FROBISHER WAY,1800
STROHL,10100
205 BRAMER RD,453100
5466 SENECA PL,34800
558 BRAMER RD,224400
558 BRAMER RD,224400
474 BRAMER RD,200000
1183 DEER TRAIL RD,82600
563 PINE CONE CIR,337500
10734 JULIAN CT,128700
10877 E BERRY PL,14100
665 ASH ST,36200
,89800
2439 MARSHALL CT,358300
2439 MARSHALL CT,358300
ADDRESS UNKNOWN,400
325 RIDGEHAVEN PL,52000
11 MOZART DR EAST BREIDABLIK,161700
11 MOZART DR EAST BREIDABLIK,161700
11 MOZART DR EAST BREIDABLIK,161700
4100 JACKSON AVE,114600
3900 J ST,53000
113 BRAMER RD,260200
11183 W FREMONT PL,29700
11183 W FREMONT PL,29700
PO BOX 471,26300
47 RANCH RD,224400
118 GRIZZLY DR,221700
6796 POPPY CT,201700
6796 POPPY CT,201700
3088 222ND RD,20000
3088 222ND RD,20000
PO BOX 201,8300
4825 LIVE OAK CYN RD,450000
4825 LIVE OAK CYN RD,450000
715 YARNELL CT,72500
251 76TH ST,67400
PO BOX 773114,190500
7259 W 108TH PL,247800
7 BUTTERNUT HILL DR,35000
174 WEST BYERS PL,55400
174 WEST BYERS PL,55400
929 EVERGREEN AVE.,23600
2421 POZE BLVD,32300
2421 POZE BLVD,32300
2516 S 35TH AVE,295900
1140 LINDEN AVE,46849
1140 LINDEN AVE,730500
1140 LINDEN AVE,25440
1140 LINDEN AV,285300
2489 COLORADO AVE,395600
2489 COLORADO AVE,395600
229 BIGBEE HIGH RD,134800
PO BOX 1715,29700
1319 S DREXEL WAY,2400
1527 5TH ST,128700
135 SHOSHONE CT,7800
6343 SOUTH QUEENSBURG COURT,53900
PO BOX 345,47000
5448 WHITE PL,348000
,102000
EACH UND 1/2 INTEREST,119900
1049 HARVEST RIDGE CT,36200
1458 PERIWINKLE DR,69900
601 BRAMER RD,175600
124 N WHITCOMB ST,237500
PO BOX 471,10000
47730 HIGHWAY 72,263700
2232 EAST 11620 SOUTH,50000
2232 EAST 11620 SOUTH,50000
223 BOBCAT WAY,283100
101 HICKOK TRL,285700
6636 OVERLAND RD,280000
PO BOX 1050,767700
195 HICKOK TR,260000
15923 TRANQUIL PARK CT,20000
PO BOX 17277,193900
FBO C GREGG BURCH,426500
P O BOX 471,401500
1727 GOLD LAKE RD,356900
2300 BIRDIE WAY,195600
2300 BIRDIE WAY,195600
P O BOX 603,24000
2968 WAKAS TRL,24000
2968 WAKAS TRL,104400
47159 HWY 72,20100
47159 HIGHWAY 72,138300
725 LOUISA ST,20000
200 REINDEER DR,138300
200 REINDEER DR,127300
1527 5TH ST,10000
1527 5TH ST,10000
1527 5TH ST,10000
1527 5TH ST,24000
125 FAWN LN,24000
125 FAWN LANE,24000
P O BOX 344,127000
12369 LEVI CIRCLE,52700
235 REINDEER DR,21000
263 REINDEER DR,20000
1110 HARTFORD DR,22000
7874 GREENBRIAR CIR,20000
16745 CAGAN CROSSINGS BLVD,24000
PO BOX 832,24000
125 FAWN LANE,24000
125 FAWN LN,184400
PO BOX 3631,24000
PO BOX 3631,24000
PO BOX 3631,24000
PO BOX 3631,24000
801 S CORONA,24000
517 MARINE ST,61700
11183 W FREMONT PL,87800
11183 W FREMONT PL,87800
11183 W FREMONT PL,11800
11183 W FREMONT PL,11800
2 GLENDALE CT,50000
9100 WILSHIRE BLVD 400,364400
1425 TURTLE CREEK,67800
8377 S DAVCO DR,9900
PO BO X 471,71300
PO BOX 1883,294800
605 LICKSKILLET RD,439200
368 BRAMER RD,458300
1925 12TH AVE,131400
5452 SHINGLE CREEK DR,52200
539 COUNTRY LN,147000
1242 DORIS CIR,32200
800 WOODLAND ST,72400
800 WOODLAND ST,72400
MARILYN M SOBY LIVING TRUST,483400
1528 HARRISON AVE,262300
13814 E BELLEWOOD DR,125300
775 32ND ST,268700
475 OVERLAND DR,174800
4855 DURHAM ST,344400
18335 FRESH LAKE WAY,6000
4500 19TH ST LOT 493,38200
869 COUNTY ROAD 100J,25100
ELAINE MARIE ALARCON-TOTTEN,22100
ELAINE MARIE ALARCON-TOTTEN,20900
ELAINE MARIE ALARCON-TOTTEN,22100
PO BOX 71,22100
PO BOX 101761,21000
5125 N 51ST ST,333900
10 BLUEBERRY LN,46600
945 PINE CONE CR,312200
945 PINE CONE CIR,35600
921 DIXON RD,480800
3000 COLORADO AVE 201A,27500
63 SPARN WAY,159000
63 SPARN WAY,159000
16545 GRAYS WAY,52000
2600 RODGE DR,55000
2600 RODGE DR,55000
303 CANYON BLVD UNIT C,350500
368 BRAMER RD,128700
125 BIGBEE HIGH RD,52200
SUNSHINE CANYON,1059900
46373 HWY 72,838300
223 PURPLE GLEN DR,24200
3075 S CLAYTON ST,40000
4134 STONE PL,555100
4032 STONE PL,774900
PO BOX 741,95400
641 FEATURE DR APT 308,100
THOMAS LEWIS MICHEL,368500
1777  BROADWAY,6400
PO BOX 791,1100
11515 ERIE PKWY,361500
4061 STONE PL,580800
4126 STONE PL,520000
4080 WELSH PL,416200
4201 E ARKANSAS AVE 291,773600
PO BOX 471,1600
PO BOX 471,5100
7223 MARSHALL DR,324200
4015 STONE PL,509900
2892 JAY RD,490800
4077 WELSH PL,411300
4040 28TH ST,481600
PO BOX 471,1768600
PARKS & OPEN SPACE,5193900
2943 27 1/4 ST,1626000
2830 JAY RD,460400
MUNICIPAL BUILDING,6800
MUNICIPAL BUILDING,74500
4056 STONE PL,566700
PO BOX 471,246600
4018 WELSH PL,964000
4036 STONE PL,570700
PO BOX 471,480000
4202 26TH ST,453700
1140 LINDEN AVE,52900
4052 WELSH PL,407400
505 UNIVERSITY  AVE,7000
2870 JAY RD,452100
755 EAST MULBERRY AVE,500
13020 TRIUMPH DR,4000
PO BOX 791,2000
7222 SPRING DR,970300
PO BOX 791,190800
PO BOX 791,5300
PO BOX 791,5000
PO BOX 791,2100
PO BOX 471,528400
1720 LOMBARDY DR,651500
2347 SOUTH ST,348400
PO BOX 791,3000
PO BOX 471,730500
PO BOX 1330,900
PO BOX 1330,2100
PO BOX 1330,1100
PO BOX 1330,1000
PO BOX 1330,4300
1777 BROADWAY,306200
PO BOX 471,15200
,100
PO BOX 791,3500
318 WHEDBEE ST,480
318  WHEDBEE ST,179600
JACKIE E JOHNSON,441200
635 EAGLES DR,981400
118 SEASHELL CT,700
PO BOX 750,300000
2065 MARFELL CT,404500
14050 GOLD HILL RD,4700
67 DORSETT LN,1200
67 DORSETT LN,1400
67 DORSETT LN,5200
PO BOX 471,20000
44306 HWY 72,39200
44306 HWY 72,39200
6102 DORCAS PL,5200
6102 DORCAS PL,5200
7685 QUARTZ ST,70500
40 SPARROW RIDGE RD,100
14845 COUNTY RD 501,97400
P O BOX 471,88900
P O BOX 471,31200
40 SPARROW RIDGE RD,100
40 SPARROW RIDGE RD,100
P O BOX 471,10000
12400 JULIA AVE,175600
1115 COUNTY RD 100,214800
PO BOX 548,4700
PO BOX 548,5200
PO BOX 548,5200
2462 S FILLMORE ST,112336
2462 S FILLMORE ST,112336
2462 S FILLMORE ST,112336
400 SUMMIT BLVD UNIT 1410,295600
17902 W 59TH AVE,57500
17902 W 59TH AVE,700
PO BOX 173,15300
PO BOX 227,154800
10001 GOLD HILL RD,451700
7105 W 11TH STREET RD,30000
P.O.BOX 99,99600
P.O.BOX 99,800
2704 WALDEN WOODS CT,104400
488 COUNTRY LN,148700
200 PARK AVE,5200
PO BOX 471,8600
PO BOX 471,99000
672 NELSON DR,195600
672 NELSON DR,195600
720 COUNTY ROAD 100,170500
PO BOX 307,20400
1672 EMERALD ST,4700
PO BOX 322,3100
PO BOX 322,3100
715 YARNELL CT,53600
14903 RACE ST,48700
P O BOX 1175,35000
17024 GREENHORN RD,208700
522 COUNTY RD 100,63000
16030 LUXEMBOURG DR,2700
401 MAIN ST,700
189 MINE LANE,485400
1085 CR 2200 NORTH,1000
7860 MARRIOTT RD,15800
860 PINE ST,6000
PO BOX 381,44400
1809 SNOWY OWL DR,7800
16 KIMBALL ST,9300
1425 TURTLE CREEK DR,6000
1425 TURTLE CREEK DR,6000
3531 N RIDGE DR,193900
UND 1/2 INT & ET AL,235600
1217 SOUTH BEAUMONT RD,22900
PO BOX 471,10300
PO BOX 471,70800
2700 HAWK ST,5200
4285 LOMO ALTO DR,41200
15 MILMOHR CT,2600
15 MILMOHR CT,2600
15 MILMOHR CT,2600
PO BOX 471,3700
PO BOX 471,2200
PO BOX 216,228700
PO BOX 216,228700
1672 EMERALD ST,4700
1103 6TH ST,16200
4865 LEE CIR,56300
8026 SWEETWATER RD,3500
8026 SWEETWATER RD,3500
960 PINE ST,1333
PO BOX 337,218300
45640 PEAK TO PEAK HWY,313900
4253 PERRY ST,17700
4253 PERRY ST,17700
4253 PERRY ST,17700
340 SHOREHAM CIR,1300
109 GUNN AVE,4500
PO BOX 325,3400
1518 S 80TH ST,100900
12495 CAMARERO CT,400
12495 CAMARERO CT,600
5650 SW MAPP RD,5200
1655 WALNUT ST,365300
1777 S CLARKSON ST,90000
340 SHOREHAM CIRCLE,171400
PO BOX 285,260000
3371 GOLD LAKE RD,1046400
960 PINE ST,445
4696 GROVE ST,14500
PO BOX 309,1500
715 W MAGNOLIA,100
4805 BASELINE RD #G,2600
400 SUMMIT BLVD UNIT 1410,402000
820 E MAGEE RD,53900
10 BLUEBERRY LN,47600
PO BOX 217,66600
PO BOX 471,27600
1771 HARBOR DR,63000
2425 GOLD LAKE ROAD,313900
440 ARAPAHOE AVE,1700
1132 31ST AVE,3600
1132 31ST AVE,3600
1132 31ST AVE,10200
9101 MALAD,10300
400 SUMMIT BLVD UNIT 1410,62
471 BOULDER ST,7500
PO BOX 88,10200
471 BOULDER ST,65200
PO BOX 88,3000
PO BOX 88,2000
913 HARMAN ROCKS RD,3100
1556 KILKENNY ST,82000
35046  COUNTY ROAD 10,130500
87 SPRING GULCH RD,39200
PO BOX 143,400
781 REDWOOD CT,2200
781 REDWOOD CT,87000
PO BOX 471,49000
POB 309,1700
3700 CLOVERLEAF DR,43700
PO BOX 125,30600
7995 E PRENTICE AVE STE 200,9800
PO BOX 309,41700
PO BOX 309,41700
PO BOX 332,2400
PO BOX 332,6200
PO BOX 31206,10300
PO BOX 31206,10300
PO BOX 66,370500
471 BOULDER ST,7700
P O BOX 687,2100
9490 TROON VILLAGE DR,4100
PO BOX 129,215600
PO BOX 129,215600
PO BOX 129,215600
PO BOX 129,215600
913 HARTMAN ROCKS RD,5000
1818 RIDGEWAY DR,15100
3030 JAY ST,1000
415 N 7TH AVE,181600
1116 WOODLAND DR,600
513 DEWEY AVE,80000
223 S MILWAUKEE ST,133000
13536 GOLD HILL RD,346100
13536 GOLD HILL RD,2600
PO BOX 130,233000
3320 PRIMROSE CT,5200
1255 BRAINARD LAKE RD,20600
46 PIMA CT,73300
130 HIGH ROCK ACRES DR,900
CAYLON K,1400
POB 309,1700
4840 THUNDERBIRD DR  NO 94,4700
7647 32ND ST,51400
174 SPRING GULCH RD,295600
8025 ISLAND DR,361000
PO BOX 471,4600
983 CHERRYVALE RD,1200
983 CHERRYVALE RD,500
983 CHERRYVALE RD,600
10005 GOLD HILL RD,445800
PO BOX 471,2100
PO BOX 471,2900
PO BOX 471,192300
363 N WYOMING AVE,3600
PO BOX 11192,52200
936 RAINLILLY LN,104400
323 OVERLOOK LN,52700
P O BOX 471,1000
23985 GLENMOOR WAY,2500
PO BOX 471,1500
PO BOX 471,1500
PO BOX 471,86800
PO BOX 471,15100
P O BOX 1199,310500
1720 MONTICELLO RD,2500
2231 PLATINUM DR,3100
1073 BROKEN SPOKE LN,900
4126 STONE PL,410100
5335 TENINO AVE,10300
5335 TENINO AVE,10300
PO BOX 650043,224400
P O BOX 471,30600
PO BOX 309,3700
PO BOX 309,3700
2019 225 EAST,198300
7800 FORSYTH BLVD,4500
224 W MAIN ST,41700
224 W MAIN ST,41700
922 MONTCLAIR RD,800
8 UTICA ST,120000
PO BOX 309,65300
PO BOX 309,65300
PO BOX 309,65300
PO BOX 309,65300
PO BOX 254,210500
922 MONTCLAIR RD,900
1777 S CLARKSON ST,59200
PO BOX 353,140000
983 CHERRYVALE RD,273
983 CHERRYVALE RD,300
983 CHERRYVALE RD,821
PO BOX 10,208700
11 SCATACOOK PATH,197500
10852 FOX SEDGE WAY,40900
PO BOX 471,4900
700 N BRAND STE 860,2500
P.O.BOX 99,2000
14280 SIESTA RD,106100
174 SPRING GULCH RD,810
10328 MEADE LOOP,61700
5343 BROADWAY TER APT 206,41100
1425 TURTLE CREEK,1300
PO BOX 309,1100
842 GRANT PL,1400
842 GRANT PL,1400
842 GRANT PL,5100
842 GRANT PL,5100
842 GRANT PL,1000
842 GRANT PL,1000
842 GRANT PL,2800
842 GRANT PL,2800
PO BOX 99,10300
P O BOX 471,24000
9859 OTIS CT,11000
315 SPRUCE ST,4400
950 GILLASPIE DR,1400
980 MOUNTAIN AVE,54800
522 COUNTY RD 100,602300
10910 RESEDA BLVD,26000
12 ELLENWOOD DR,3800
15801 CR 31,400
P O BOX 471,8600
PO BOX 471,13800
5952 GERMAINE LN,3900
5952 GERMAINE LN,3900
1425 TURTLE CREEK,271200
PO BOX 471,56100
P O BOX 471,2600
14800 GOLD HILL RD,5200
KIMO H,5200
18847 RD 16,19700
2115 ORCHARD AVE,1300
6300 DIAGONAL HWY,41580700
P O BOX 471,168000
PO BOX 791,5900
P O BOX 791,2010700
