mailingAddr1,bldAssessedVal
CATHERINE M HECKEL,31068
555 S 41ST ST,15554
1325 ITHACA DR,19486
4435 DARLEY AVE,17687
4360 DREW CIR,16979
775 39TH ST,18228
1765 VIEWPOINT RD,59700
3535 EASTMAN AVE,14400
4325 GRINNELL,16238
5950 S GILPIN CT,26165
4360 LUDLOW ST,17552
175 SOUTH 33RD ST,15085
1185 CLAREMONT DR,29452
4770 SHOUP PL,14368
4770 SHOUP PL,14368
82 PINE NEEDLE RD,15164
3701 SACRAMENTO ST #344,15466
880 MOHAWK DR,11375
855 MOHAWK DR,11709
1240 DREXEL ST,24111
2305 HILLSDALE WAY,29380
280 S 39TH ST,14089
3185 11TH ST,12298
1323 BLUEBELL AVE,13046
825 33RD ST,17647
2895 VASSAR DR,29643
2955 VASSAR DR,25782
170 S 35TH ST,15530
3774 DAVIDSON PL,16613
3762 WONDERLAND HILL AVE,16151
3305 AURORA AVE,17695
1531 BRADLEY DR,28178
2414 N W MILLER RD,17735
145 S 36TH ST,12386
330 S 42ND ST,15172
1555 GILLASPIE DR,20680
825 38TH ST,14957
810 MOHAWK DR,14193
BERRY LIVING TRUST,21046
865 MORGAN DR,13349
2750 EMERSON AVE,24787
2645 JUILLIARD ST,30901
3570 EVERETT DR,22813
4130 GILPIN DR,13150
510 S 45TH ST,17409
4477 HAMILTON CT,15124
1572 GREENBRIAR BLVD,22073
M BEATRIE ANTEQUERA,16652
1285 CLAREMONT DR,21261
4285 GRAHAM CT,13795
PO BOX 3291,15745
870 INCA PKWY,11295
677 SKY TRAIL RD,16429
2155 HILLSDALE CIR,27327
5079 HOLMES PL,13317
1245 FAIRFIELD DR,18133
59 BENTHAVEN PL,19470
1060 35TH ST,16819
1060 35TH ST,16819
2820 KENYON CIR,20099
1346 SCRUB OAK CIR,22877
4200 EVANS DR,13245
675 ITHACA DR,19207
500 HARTFORD DR,20577
2820 ILIFF ST,24485
763 ITHACA DR,23944
4740 LUDLOW ST,17018
4780 HANCOCK DR,28385
4265 GRINNELL AVE,21834
1245 TOEDTLI DR,22296
3795 DARLEY AVE,21755
1085 BEREA DR,24167
1085 BEREA DR,24167
52 OLD BARN DR,26411
52 OLD BARN DR,26411
5523 STONEWALL PL,22073
5523 STONEWALL PL,22073
7322 COUNTY RD 209,17241
1120 HARTFORD DR,20290
450 S 38TH ST,16477
655 ITHACA DR,26666
4800 LEE CIR,30630
1345 GEORGETOWN RD,24127
620 ITHACA DR,33806
1260 TOEDTLI DR,24660
4280 GRINNELL AVE,24899
2865 COLBY DR,21675
5324 BLAKE DR,17974
1225 FAIRFIELD DR,19605
1945 NORWOOD AVE,13031
4683 INGRAM CT,17361
2665 TABLE MESA CT,19271
810 36TH ST,17814
1895 LEHIGH ST,39362
1285 DREXEL ST,20680
4635 GORDON DR,22192
3590 FORDHAM CT,13755
13155 NOEL RD 100 LB73,645755
INTERNATL SCHOOL EAST SEABRD,18260
45 BROADWAY 25TH FLOOR,277142
4740 MCKINLEY DR,35892
PO BOX 19082,14941
1305 ITHACA DR,18969
950 MIAMI WAY,24389
850 37TH ST,15944
4590 MARTIN DR,14392
945 36TH ST,16469
635 S 42ND ST,17050
370 S 42ND ST,13930
965 36TH ST,15434
4450 SQUIRES CIR,15633
150 S 34TH ST,12362
2890 REGIS DR,28242
1285 EDINBORO DR,25170
637B S BROADWAY UNIT 101,14010
525 ITHACA DR,30574
4777 MCKINLEY DR,25616
715 HARTFORD DR,20720
775 TOEDTLI DR,19486
40 S 33RD ST,17448
5847 S FULTON WAY,15984
4820 PENNSYLVANIA AV,14408
320  S  39TH  ST,13301
1450 ITHACA DR,24549
1505 KENDALL DR,22551
1505 JUDSON DR,21508
100 S 36TH ST,14121
1360 HARTFORD DR,16668
625 S 46TH ST,17982
990 GILLESPIE DRIVE,19056
4211 EATON CT,17034
3495 EASTMAN AVE,14447
915 5TH ST,105560
4405 DARLEY AVE,17743
704 39TH ST,15880
1415 BRADLEY DR UNIT I-12,24541
14525 SW MILIKAN WY UNIT 11526,24867
985 34TH ST,18348
860 ORMAN DR,14989
2375 HILLSDALE WAY,23792
2955 HEIDELBERG DR,21834
1240 ITHACA DR,19598
898 PIMLICO CT,19900
1460 FINDLAY WAY,15761
4281 GRAHAM CT,14511
BOSTROM TRUST,15952
515 S 44TH ST,17942
855 GILPIN DR,14543
2525 TABLE MESA DR,21245
3180 ENDICOTT DR,23076
SARA ELLEN FORREST,13620
1405 BRADLEY DR,17767
710 GILLASPIE DR,14424
4225 EVANS DR,13795
3115 KITTRELL CT,48269
3232 11TH ST,29118
2372 DENNISON LN,21731
6297 S GALLUP ST,13699
960 37TH ST,18539
1185 WESTVIEW DR,15514
2610 VASSAR DR,33050
3197 STANFORD AVE,14885
4261 EATON CT,13556
385 JAMES BOWIE CT,15832
1601 HILLSIDE RD,14607
5329 SUN DIAL PL,16350
2805 EMERSON AVE,23347
955 WAITE DR,14161
48 BENTHAVEN PL,18730
1128 GREEN CIR,21476
4865 LEE CIR,30813
2120 GODDARD PL,26427
THANH V NGUYEN,24342
1012 ALBION RD,28592
4705 HANCOCK DR,28640
1386 GLEN CT,26857
2845 LA GRANGE CIR,19470
4754 MCKINLEY DR,29126
MING-JAY JEFFREY WU,33918
725 34TH ST,14837
13276 MIDBLUFF AVE,19478
875 33RD ST,15817
4520 SQUIRES CR,17751
450 S 39TH ST,14551
2525 BRIARWOOD DR,34188
854 ITHACA DR,18117
824 ITHACA DR,16827
15 ABANICO RD,14440
776 MORGAN DR,15697
1340 EDINBORO DR,20815
1020 ITHACA DR,18491
PO BOX 3503,23044
451 OTT ST,14089
910 MIAMI WAY,18993
7449 CRANNELL DR,23601
1550 JUDSON DR,23116
855 33RD ST,15498
2562 BRIARWOOD DR,44640
RUSSELL U MICHAEL JR,17886
335 S 39TH ST,13524
1445 LANDIS CT,30829
1070 TOEDTLI DR,24047
4245 AURORA AVE,13564
2563 BRIARWOOD DR,39728
4565 DARLEY AVE,21675
730 31ST ST,16700
730 S 43RD ST,17018
360 S 40TH ST,19502
4780 MCKINLEY DR,37102
1610 W PIKES PEAK AVE,15920
2905 VASSAR DR,32158
1085 ALBION RD,18603
PETER LANDES HOWELL,28616
4140 EAST AURORA AVE,13421
985 ITHACA DR,22670
3195 DARLEY AVE,20210
3195 DARLEY AVE,20210
2298 HOLYOKE DR,21970
2425 VASSAR DR,32970
2245 HILLSDALE CIR,3502
2245 HILLSDALE CIR,3502
1500 GREENBRIAR BLVD,24628
1500 GREENBRIAR BLVD,24628
4095 DARLEY AVE,24907
2505 STEPHENS ROAD,18714
2670 JUILLIARD ST,29412
4525 MARTIN DR,16374
3690 EMERSON AVE,19112
2710 JULLIARD ST,48978
2880 JULLIARD ST,72356
3150 KITTRELL CT,32230
3170 KITTRELL CT,30009
5454 CONESTOGA CT,32628
1705 GILLASPIE DR,37062
2910 JUILLIARD ST,29452
1605 GILLASPIE DR,33177
335 S 41ST ST,14360
1525 BRADLEY DR,27327
4625 MACKY WAY,18937
760 37TH ST,15832
2999 LAWRENCE ST #202,16429
TRACY LORRAINE SMITH,18236
1945 VASSAR CIR,64181
1095 HARTFORD DR,21643
3475 HEIDELBERG DR,21715
1419 BRADLEY DR,24175
2175 GODDARD PL,24031
1290 BEREA DR,19956
353 SKYLARK WAY,20879
PO BOX 17486,16740
1315 HARTFORD DR,16995
5242 SPOTTED HORSE TRL,22511
225 W 83RD ST APT 14Z,19160
225 W 83RD ST APT 14Z,19160
1125 WILDWOOD RD,26141
3795 MARTIN DR,13914
1310 DREXEL ST,19733
1347 SCRUB OAK CIR,35963
1542 CHAMBERS DR,22089
335 S 40TH ST,17082
1662 BEAR MOUNTAIN DR,34642
645 S 41ST ST,17751
3765 EMERSON AVE,22662
930 WAITE DR,13922
3650 BERKLEY AVE,14615
10 S 36TH ST,15602
850 MOHAWK DR,12043
2755 HEIDELBERG DR,21038
863 14TH ST,12680
4800 BASELINE RD STE #E104-290,14798
2875 JUILLARD ST,18388
1233 AIKINS WAY,18555
265 32ND ST,12967
2890 TABLE MESA DR,20449
121 MEADOWLOOK WAY,12227
121 MEADOWLOOK WAY,12227
4705 SHOUP PL,15060
1590 ORCHARD AVE,15044
3650 DARLEY AVE,16350
4889 KELLOGG CIR,30550
3670 BERKLEY AVE,13110
3653 CHASE CT,14527
1050 EDINBORO DR,23968
2423 W 25TH ST,17695
960 MCINTIRE ST,14033
4635 MACKY WAY,18053
725 S 42ND ST,17162
1528 GREENBRIAR BLVD,25400
4537 APPLE WAY,15275
190 S 32ND ST,12680
535 S 45TH ST,19096
535 S 45TH ST,19096
104 PINE TREE LN,12680
DAWN M SPENCER HURWITZ,15355
440 S 42ND ST,14185
855 36TH ST,16230
4261 EATON CT,13086
2312 14TH ST,190753
PO BOX 21185,15259
1270 JUDSON DR,21070
745 S 46TH ST,17735
365 S 44TH,15570
1413 BRADLEY DR,19295
785 36TH ST,15013
871 ITHACA DR,19064
3753 DAVIDSON PL,15196
265 S 41ST ST,13795
1925 VASSAR CIR,20210
1497 KENNEDY CT,33679
735 MORGAN DR,13938
4475 BROOKFIELD DR,17719
3490 ENDICOTT DR,22638
2890 EMERSON AVE,22447
4679 INGRAM CT,18165
335 S 38TH ST,17910
PO BOX 84574,12609
550 S 46TH ST,17568
4720 CHEYENNE CT,14997
DIMIZIANI-CASCIO,17783
955 MIAMI WAY,22057
957 WESTVIEW DR,29691
255 S 40TH ST,17122
600 YALE RD,20983
2292 HOLYOKE DR,36377
540 S 46TH ST,17337
3680 LONGWOOD AVE,27661
1082 BEREA DR,21333
3676 CHASE CT,13970
4535 DARLEY AVE,19510
4535 DARLEY AVE,19510
225 W 83RD ST APT 14Z,30805
530 S 42ND ST,17822
3957 FULLER CT,14519
3290 DARLEY AVE,17050
1480 ITHACA,18825
1480 ITHACA,18825
850 INCA PKWY,13858
40 S 34TH ST,17910
1030 LEHIGH ST,22551
4680 LUDLOW ST,22336
955 MCINTIRE ST,14018
110 S 36TH ST,15785
205 32ND ST,22988
3820 ARMER AVE,21890
2990 HEIDELBERG DR,24533
50 S 36TH ST,16222
3365 DOVER DR,18539
740 GILPIN DR,14010
740 GILPIN DR,14010
3910 LONGWOOD AVE,31124
1105 GEORGETOWN RD,20242
PO BOX 19019,18618
PO BOX 19019,18618
350 MARTIN DR,14662
630 EMPORIA RD,41647
3300 DOVER DR,18666
3145 VALLEY PARK BLVD,19271
4758 MCKINLEY DR,28616
2810 7TH ST,16644
1125 ITHACA DR,17958
535 S 41TH ST,18873
MARCIA E HOWELL,19494
140 S 32ND ST,14471
907 BROOKLAWN DR,12489
3120 BAYLOR DR,17321
4615 TALBOT DR,14798
1855 VIEWPOINT RD,38200
1540 CHAMBERS DR,18029
62 BENTHAVEN PL,20290
1550 FINDLAY WAY,22909
1345 DREXEL ST,19629
3 CENTENNAL DR STE 150,21858
1270 LEHIGH ST,20513
ATTEN: GURU NAM KAUR KHALSA,12776
4704 MCKINLEY DR,35334
4250 GRINNELL AVE,22511
PO BOX 2362,16318
330 NORTON ST,15275
125 S 35TH ST,13819
4400 HANOVER AVE,17982
4025 CHIPPEWA DR,27390
1090 S 46TH ST,16525
3005 BAYLOR DR,18730
931 TELLER CIR,14551
3605 EMERSON AVE,19430
5863 ZANG CT,18276
1705 VIEWPOINT RD,59700
4205 E AURORA AVE,12370
1280 DREXEL ST,18698
1280 DREXEL ST,18698
2835 KENYON CIR,27486
3395 HEIDELBERG DR,20688
1790 LEHIGH ST,31490
11705 WOODLAND HILLS TR,13078
1890 LEHIGH ST,27064
4403 AARON PL,33289
4403 AARON PL,33289
2242 HOLYOKE DR,29420
4760 SHOUP PL,16031
2935 BAYLOR DR,27757
825 37TH ST,15299
SUSAN G COOPER,21174
3295 EMERSON AVE,19176
2890 JUILLIARD ST,52655
4670 MACKY WAY,17385
2705 STEPHENS RD,21205
JOSEPHINE WARD HEATH,43302
4692 INGRAM CT,15705
4440 HASTINGS DR,21643
840 MOHAWK DR,12521
155 S 33RD ST,15920
320 41ST ST,15331
705 36TH ST,14981
1522 CHAMBERS RD,24461
3961 FULLER CT,14002
10981 THOMPSON DR,18690
1258 BEAR MOUNTAIN CT,24748
4795 SHOUP PL,14344
4795 SHOUP PL,14344
2210 HOWARD PL,32739
2350 DENNISON LN,51215
800 TOEDTLI DR,20975
845 5TH ST,15506
1205 HARTFORD DR,16708
1190 HARTFORD DR,17870
10 ROCKLAWN RD,21588
3605 DARLEY AVE,21166
& LAURA D & BRENDA G & BRADLEY J,25981
3669 CHASE CT,16382
3055 BAYLOR DR,20768
1145 BEREA DR,25106
1595 GILLASPIE DR,22041
3540 DARTMOUTH AV,13906
1450 KENDALL DR,22583
1305 EDINBORO DR,19916
1009 VIVIAN CIR,15466
1465 BROWN CIR,19590
755 32ND ST,15403
345 32ND ST,16557
715 S 43RD ST,18794
2610 REGIS DR,32636
4560 HANOVER AVE,17743
315 S 40TH ST,14256
925 37TH ST,16310
1445 GILLASPIE DR,21986
440 ERIE DR,27820
3200 DOVER DR,21866
2595 YARROW CT,22169
1520 KENDALL DR,18093
3855 ARMER AVE,20322
1 ELM DR,22304
3340 MARTIN DR,14503
3590 BERKLEY AVE,13389
2260 NICHOLL ST,14352
2260 NICHOLL ST,14352
3505 ENDICOTT DR,20871
2640 CORNELL CIR,27757
1065 GILLASPIE DR,20242
4695 MACKY WAY,20887
4885 LEE CIR,30861
1276 AIKINS WAY,16939
1748 BEAR MOUNTAIN DR,33766
1750 BEAR MOUNTAIN DR,32851
1555 JUDSON DR,17337
3505 DARLEY AV,20959
1935 VASSAR CR,79353
2855 HEIDELBERG DR,20720
2150 GODDARD PL,37977
2850 JUILLIARD ST,39800
2473 BRIARWOOD DR,14662
625 S 42ND ST,16931
420 HIGHLAND AVE,15665
215 IROQUOIS DR,16605
P O BOX 7639,23983
825 35TH ST,15100
5539 JEWEL CREEK CT,29898
4728 MCKINLEY DR,31991
1403 GILLASPIE DR,21086
4497 GRINNELL AVE,22710
200 MARTIN DR,14360
831 INCA PKWY,13054
455 S 40TH ST,15761
1023 VIVIAN CIR,12911
1585 GILLASPIE DRIVE,20600
2533 BRIARWOOD DR,31864
3420 FORDHAM CT,18260
4015 EVANS DR,14217
4245 EVANS DR,13572
CHRISTENSON LIVING TRUST,14304
603 HARTFORD DR,17727
965 MORGAN DR,13811
1065 ITHACA DR,17265
2845 COLBY DR,24748
4120 GILPIN DR,14368
4160 HUNT CT,15148
530 S 40TH ST,20608
2135 STONEY HILL,29269
4365 GRINNELL AVE,17592
1340 ITHACA DR,19892
1340 ITHACA DR,19892
4765 LUDLOW ST,19494
1885 LEHIGH ST,55609
4725 HANCOCK DR,28720
2130 VASSAR DR,27000
615 S 43RD ST,20003
1910 MARVONNE RD,18419
705 S 45TH ST,18802
2750 JUILLIARD ST,25472
1966 HARDSCRABBLE PL,18786
4425 HASTINGS DR,23999
5130 INGERSOLL PL,15530
4703 HARRISON AVE,26857
2828 KENYON CIR,20553
900 WAITE DR,13620
7330 BUCKINGHAM CT,14209
3405 EASTMAN AVE,20752
3830 DARLEY AVE,20425
885 MORGAN DR,14893
1540 GREENBRIAR BLVD UNIT 14-146,25552
1190 DREXEL ST,20951
4203 EASTVIEW RD,16819
4716 MCKINLEY DR,30017
4716 MCKINLEY DR,30017
2255 TABLE MESA DR,27359
2910 REGIS DR,29396
MCGLOCHLIN,29134
3800 ARMER AVE,20529
825 HARTFORD DR,24055
825 HARTFORD DR,24055
4792 MCKINLEY DR,30996
1165 DREXEL ST,21882
2350 HILLSDALE WAY,25798
2900 JULLIARD ST,39139
545 S 44TH ST,16477
2 FARBROOK DR,22845
1021 BEREA DR,19200
985 MORGAN DR,14360
PAMELA R RANTILLA,32525
1865 OLD WILLOW RD UNIT 224,12664
1865 OLD WILLOW RD UNIT 224,12664
1865 OLD WILLOW RD UNIT 224,12664
233 KIMBALL AVE,16079
2705 TABLE MESA CT,19852
4458 HAMILTON CT,14240
1385 GEORGETOWN RD,16995
4720 CHEYENNE CT,15641
2860 HUMBOLDT ST,15944
626 13TH ST,15124
816 ITHACA DR,22097
1385 BROWN CIR,21094
3250 EMERSON AVE,25560
2615 TABLE MESA CT,21572
PO BOX 3517,12418
1025 MIAMI WAY,22296
1025 MIAMI WAY,22296
3260 ENDICOTT DR,20624
3991 TROON CIR,13588
1404 KENNEDY CT,32294
1019 VIVIAN CIR,14105
4492 HAMILTON CT,14264
4253 GRAHAM CT,14567
1241 MEADOW LARK DR,16597
735 38TH ST,15809
1390 EDINBORO DR,31625
530 S 46TH ST,17377
530 S 46TH ST,17377
4760 KELLOGG CR,17655
2452 WILSHIRE BLVD,19144
745 35TH ST,19629
4390 LUDLOW ST,19908
415 S 43RD ST,14376
20 S 38TH ST,16008
7000 HILL RD,13492
550 S 43RD ST,18969
1298 SCRUB OAK CIR,19478
2760 DARLEY AVE,26881
4425 LUDLOW ST,23960
4291 EATON CT,12386
4820 LEE CIR,30622
1837 WALNUT ST UNIT E,16509
470 ERIE DR,22766
2865 ILIFF ST,23386
2232 HOLYOKE DR,27605
9732 ABINGTON CT,27048
MARGARETHA VAN ZOONEN-DUGGAN,22981
1325 HARTFORD DR,17456
2745 ILIFF ST,27979
3826 FRUITVALE AVE,12688
2310 DENNISON LN,18674
635 SO 41ST ST,16963
1220 DREXEL ST,23020
380 MARTIN DR,13540
380 MARTIN DR,13540
820 36TH ST,15021
165 S 34TH ST,13898
805 ORMAN DR,15371
4810 PENNSYLVANIA AVE,15928
2630 JUILLIARD ST,31044
1170 ALBION WAY,23068
415 S 38TH ST,13763
4000 CARLOCK DR,24135
2061 VIA TAORMINA,13914
470 S 40TH ST,16390
470 S 40TH ST,16390
470 S 40TH ST,16390
1210 CLAREMONT DR,19470
3040 18TH ST,18945
3040 18TH ST,18945
1382 GLEN CT,21309
1511 BRADLEY DR UNIT 305,27677
4482 HAMILTON CT,13643
3900 DARLEY AVE,21739
6351 GLENMOOR RD,25257
1230 JUDSON DR,19908
1510 FINDLAY WAY,23474
380 S 39TH ST,14320
2650 JUILLIARD ST,50825
1490 GREENBRIAR BLVD,24588
PO BOX 17908,35350
4747 MCKINLEY DR,30304
440 S 44TH ST,16310
1150 HANCOCK DR,32270
801 BROOKLAWN DR,15140
750 S 41ST ST,18029
4245 MARTIN DR,16199
775 38TH ST,14901
870 MCINTIRE ST,13357
3395  EASTMAN  AVE,13628
1240 LEHIGH ST,17942
3490 EASTMAN AVE,13819
360 S 39TH ST,15689
4780 SHOUP PL,13795
1190 JUDSON DR,22248
4656 GREENBRIAR CT,20680
ERIC PATTERSON,14997
532 COLONIAL DR,19367
1405 CHAMBERS DR,23976
26 MARLBORO ST,18762
1222 SCRUB OAK CIR,26905
4075 CHIPPEWA DR,30805
KATHY ANN WOLFE THOMPSON,23124
520 HARTFORD DR,19255
1570 JUDSON DR,23052
3665 ENDICOTT DR,27446
1125 HANCOCK DR,31028
1125 HANCOCK DR,31028
305 S 38TH ST,17170
4400 WHITNEY PL,20545
4400 WHITNEY PL,20545
2875 ILIFF ST,40516
3600 DARTMOUTH AVE,17862
775 31ST ST,18013
835 35TH ST,15188
4125 GILPIN DR,14344
970 MIAMI WAY,21038
4730 LEE CIR,32899
3305 DARLEY AVE,20003
760 34TH ST,39402
16 PRINCESS GATE,16000
850 34TH ST,15323
860 33RD ST,1202
1440 FINDLAY WY,20537
2595 VASSAR DR,30980
669 HARTFORD DR,31283
910 MCINTIRE ST,13962
1467 KENNEDY CT,32676
1005 GILLASPIE DR,21396
100 BENTHAVEN PL,19295
100 BENTHAVEN PL,19295
3255 EMERSON AVE,21094
96 S 35TH ST,15299
4290 HANOVER AV,17966
PO BOX 1725,21301
4744 MCKINLEY DR,32779
475 ERIE DR,27295
4470 SQUIRES CIR,17958
4809 KELLOGG CR,30264
735 TOEDTLI,21396
1480 ITHACA,20218
1480 ITHACA,20218
721 HEARTHSTONE DR,19040
2218 HOLYOKE DR,41702
2202 HOLYOKE DR,40357
2203 HOLYOKE,31808
2104 GODDARD PL,37595
695 EMPORIA RD,32891
JENNIFER HAVLICK PLATT,39752
665 EMPORIA RD,31100
655 EMPORIA RD,38877
645 EMPORIA RD,22861
921 WALNUT ST SUITE 200,35342
605 EMPORIA RD,28529
1930 VASSAR DR,40118
SUZANNE FELDMAN,23824
4555 MARTIN DR,14503
4170 HUNT CT,14408
4720 CHEYENNE CT,14248
700 YALE RD,18889
BRUCE K & LYNETTE JB HADDON TT,24119
P O BOX 3693,14869
4750 MCKINLEY DR,31116
1225 ALBION RD,17838
3895 CLOVER LEAF DR,19908
1284 BEAR MOUNTAIN CT,21731
2390 HILLSDALE WAY,25464
4537 APPLE WAY,14630
810 HARTFORD DR,20250
PO BOX 18658,19231
1050 BEREA DR,24151
PO BOX 618,18284
1488 GREENBRIAR BLVD 9-98,24326
735 31ST ST,15944
2805 STEPHENS RD,22288
1544 PEARL ST,14041
3750 EMERSON AVE,21476
2675 ILIFF ST,23562
640 EMPORIA RD,23784
337 MORETON BAY LN  UNIT 1,20600
1570 BLUE SAGE CT.,41734
2715 HEIDELBERG DR,22296
2360 HILLSDALE WAY,36385
PO BOX 4325,19184
2775 EMERSON AVE,21341
3090 DENTON AVE,15100
1071 YALE CIR,27398
814 N ABINGDON ST,26555
770 S 45TH ST,18316
4202 BISHOPS VIEW CIR,18579
865 36TH ST,18579
1720 LEHIGH ST,36170
1310 EDINBORO DR,21205
3715 LONGWOOD AVE,31928
1247 SCRUB OAK CIR,24931
40 S 32ND ST,13651
3675 BUCKEYE CT,13803
3978 FULLER CT,19016
3662 CHASE CT,14957
3365 DARLEY AV,19072
1357 SCRUB OAK CIR,20911
1550 KENDALL DR,20895
DAVIS LIVING TRUST,13102
2125 HILLSDALE CIR,29516
4435 BROOKFIELD DR,13890
1470 FINDLAY WAY,22272
1376 BARN OWL CT,22073
1376 BARN OWL CT,22073
10 S 33RD ST,13508
4755 MCKINLEY DR,35979
4655 LUDLOW ST,16756
1725 ITHACA DR,30216
315 S 42ND ST,20362
4181 COOPER CT,14965
1390 ITHACA DR,21278
1445 FINDLAY WAY,19765
355 S 43RD ST,16055
520 S 41ST ST,18459
740 34TH ST,18117
1966 HARDSCRABBLE PL,21954
1080 MIAMI WAY,19422
741 ITHACA DR,35820
4822 KELLOGG CIR,15355
3390 LONGWOOD AVE,35366
1405 ITHACA DR,20370
3005 E EUELID AVE,14137
505 DRAKE ST,25727
80 S 35TH ST,14431
440 S 40TH ST,17297
3805 LONGWOOD AVE,67660
746 ITHACA DR,18308
960 ITHACA DR,20043
1225 HARTFORD DR,18985
315 S 39TH ST,15641
4847 MCKINLEY DR,31243
850 36TH ST,16987
4340 WHITNEY PL,18610
755 38TH ST,14957
710 S 46TH ST,16748
2630 ILIFF ST,33806
700 35TH ST,15403
700 35TH ST,15403
1185 HARTFORD DR,17098
4165 MOORHEAD AVE,14893
1575 ROCKMONT CIR,14973
320 S 42ND ST,18197
PO BOX 9005,7171062
1235 ALBION WAY,19868
4712 MCKINLEY DR,31180
1020 BEREA DR,22901
3410 EVERETT DR,19422
2291 ARAPAHOE AVE,15371
1850 KOHLER DR,14352
3106 KITTRELL CT,43923
1170 HANCOCK DR,28624
,
6053 BASELINE RD,16557
1385 EDINBORO DR,18133
1 HILLCREST DR,23514
1560 LEHIGH ST,18547
1560 FINDLAY WAY,22288
1945 NORWOOD AVE,16573
805 S CASCADE AVE,32158
5815 RUSTIC KNOLLS DR,14893
4764 MCKINLEY DR,30630
1575 GILLASPIE DR,22543
1535 JUDSON DR,19422
975 HARTFORD DR,22161
645 ITHACA DR,24636
520 ITHACA DR,23036
4335 MARTIN DR,14551
3640 DARTMOUTH AVE,16421
4800 BASELINE RD # E104-412,15514
1465 CHAMBERS DR,18157
3835 DARLEY AVE,20903
4631 GORDON DR,20330
2575 STEPHENS RD,22407
1055 HARTFORD,15220
801 GILLASPIE DR APT 135,22654
1150 GEORGETOWN RD,13866
273 VAQUERO DR,15976
22421 HARWICH LN,14344
1110 BEREA DR,19271
2941 LORRAINE CT,14248
757 19TH ST,13874
800 YALE RD,
2850 COLBY DR,20465
4465 DARLEY AVE,17751
1546 CHAMBERS DR UNIT 44,25233
90 S 32ND ST,14893
615 S 45TH ST,18626
705 HARTFORD DR,17894
3390 EMERSON AVE,21986
1004 COMMERCIAL AVE # 238,16756
605 S 41ST ST,19048
830 TOEDTLI DR,20187
990 MCINTIRE ST,14161
975 37TH ST,14416
880 37TH ST,15697
880 37TH ST,15697
945 37TH ST,15116
990 35TH ST,14559
155 S 34TH ST,12991
4700 HANCOCK DR,32787
807 ORMAN DR,14806
4060 CARLOCK DR,22710
1195 EDINBORO DR,21627
335 S 38TH ST.,13890
3195 HEIDELBERG DR,31553
460 S 41ST ST,15426
4145 ZIMMER RD,16151
545 S 43RD ST,17432
MARILYN L ROLLINS LIVING TST,18953
3350 LOYOLA CT,23562
1227 SCRUB OAK CIR,20338
2185 GODDARD PL,28919
2881 LA GRANGE CIR,21006
2380 KOHLER DR,19820
570 HARTFORD DR,14710
4440 WHITNEY PL,17560
4555 MARTIN DR,15960
4185 PINON DR,23068
31 ST JAMES AVE STE 740,29754
2265 VASSAR DR,35430
4530 HANOVER AVE,17202
2870 LAGRANGE CIR,18507
430 S 41ST ST,11940
4224 GREENBRIAR BLVD,21373
4224 GREENBRIAR BLVD,21373
833 ITACHA,23880
608 PEARL ST,19447
3051 7TH ST,16135
420 S 44TH ST,15092
2695 EMERSON AVE,20003
2695 EMERSON AVE,20003
430  OAKWOOD  PL,14209
4055 GILPIN DR,15339
365 S 38TH ST,16350
5309 GLEN DR,15586
5309 GLEN DR,15586
5309 GLEN DR,15586
5309 GLEN DR,15586
5309 GLEN DR,15586
7741 FERRIS WAY,12648
1170 BEREA DR,22957
3705 ARMER AVE,21683
1510 ITHACA DR,21110
4616 TALBOT DR,12386
1010 ORANGE PL,13890
4200 DARLEY AVE,16143
3265 ARROWWOOD LN,15172
6720 LAKEVIEW DR,24612
4725 MCKINLEY DR,27231
2840 ILIFF ST,28457
2840 ILIFF ST,28457
3695 DARLEY AVE,19391
739 ALLSTON WAY,14861
1235 CHAMBERS DR,19486
1207 AIKINS WAY,16533
875 UNION AV,18244
625 ITHACA DR,20648
2830 DARLEY AVE,19812
3160 GALENA,19104
85 S 38TH ST,19868
1060 WAITE ST,13643
112 E LINCOLN ST,14933
1197 BEREA DR,25018
1197 BEREA DR,25018
2910 HEIDELBERG DR,31689
1290 ITHACA DR,23435
3515 LONGWOOD AVE,14471
2135 GODDARD PL,24716
4735 HANCOCK DR,28242
1539 LODGE LN,15124
1539 LODGE LN,15124
1539 LODGE LN,15124
1539 LODGE LN,15124
1270 BEREA DR,21715
890 WILLOWBROOK RD,17639
2489 BRIARWOOD DR,30837
4720 HANCOCK DR,16939
ALISON GOULD BOARDMAN,28226
2675 EMERSON AVE,18849
2675 EMERSON AVE,17472
2675 EMERSON AVE,21317
880 ORMAN DR,13612
1075 MIAMI WAY,18571
4630 LUDLOW ST,16254
3730 LONGWOOD AVE,12593
2750 STEPHENS RD,18276
3460 ASH AVE,17576
830 36TH ST,15100
SHELBY L C PAWLINA,13930
3400 DARTMOUTH AVE,19613
3355 EMERSON AVE,19653
1595 JUDSON DR,20863
1310 ITHACA DR,17799
4040 AURORA AVE,14081
880 39TH ST,17512
9596 METRO AIRPORT AVE,17241
16494 LEDYARD RD S,15028
1460 BROWN CIR,20497
2895 STEPHENS RD,19613
2895 STEPHENS RD,19613
890 ORMAN DR,13938
2625 TABLE MESA CT,21070
121 MEADOWLOOK WAY,15554
121 MEADOWLOOK WAY,15554
830 HARTFORD DR,19319
5340 CENTENNIAL TRL,15323
515 S 45TH ST,15864
887 CHERRYVALE RD,14973
